mb_release_title,local_folder_path,local_title,local_track_count,match_status,fix_note
Bonanza! 1960-1969,Al Caiola/Album/1969 - Let The Sunshine In,Let The Sunshine In,12,MISSING_TRACKS,
Bonanza! 1960-1969,Al Caiola/Album/2002 - Bonanza! 1960-1969,Bonanza! 1960-1969,33,COMPLETE,
Box of Secrets,Blood Red Shoes/Album/2008 - Box Of Secrets,Box of Secrets,12,COMPLETE,
Box of Secrets,Blood Red Shoes/Live/2009 - Live At Garden NEF Party,Fire Like This,9,MISSING_TRACKS,
Boy Krazy,Boy Krazy/Album/1993 - Boy Krazy,Boy Krazy,10,COMPLETE,
Boy Krazy,Boy Krazy/EP/1991 - That's What Love Can Do,That's What Love Can Do,10,MISSING_TRACKS,
Boy Krazy,Boy Krazy/EP/1993 - Exception to the Rule,Boy Krazy,10,MISSING_TRACKS,
Boy Krazy,Boy Krazy/EP/2009 - Good Times With Bad Boys,Good Times With Bad Boys,10,MISSING_TRACKS,
Broken Remixes,Larva/EP/2012 - Broken Remixes EP,Broken Remixes,14,COMPLETE,
Broken Remixes,Larva/EP/2012 - Echoes Of Trapped Voices EP,Echoes Of Trapped Voices,2,MISSING_TRACKS,
Broken Silence,Killer/Album/2003 - Broken Silence,Broken Silence,12,COMPLETE,
Broken Silence,"Killer/Compilation/2019 - Vol. 2 - Only the Strong Survive, 1988-2015 (Boxed Set) [4 CD]/CD 1 - Broken Silence (2003)","Vol. 2: Only the Strong Survive, 1988-2015",12,MISSING_TRACKS,
Brubeck & Rushing,Dave Brubeck/Album/1960 - The Dave Brubeck Quartet - Brubeck & Rushing,Brubeck & Rushing,11,COMPLETE,
Brubeck & Rushing,Jimmy Rushing/Album/1940 - Count Basie Featuring Jimmy Rushing,"""The Classic Count""",4,MISSING_TRACKS,
Brubeck & Rushing,Jimmy Rushing/Album/1960 - Brubeck & Rushing,Brubeck & Rushing,11,COMPLETE,
Burning In The Rain: An Anthology,Poobah/Album/2018 - Blue,Blue,15,MISSING_TRACKS,
Burning In The Rain: An Anthology,Poobah/Album/2024 - Burning In The Rain-An Anthology,Burning In The Rain: An Anthology,17,COMPLETE,
Cancer,Illusion of Safety/Album/1992 - Cancer,Cancer,28,COMPLETE,
Cancer,Illusion of Safety/Live/1987 - Live Sound Of IOS Post Effects,Live Sound Of IOS Post Effects,13,MISSING_TRACKS,
Canções escolhidas 71/97,José Mário Branco/Album/2012 - Canções Escolhidas 71_97,Canções escolhidas 71/97,16,COMPLETE,
Canções escolhidas 71/97,José Mário Branco/Album/2018 - Canções Escolhidas,Canções Escolhidas,16,MISSING_TRACKS,
Cannibal Rock,Jazztronik/Album/2005 - Cannibal Rock,Cannibal Rock,12,MISSING_TRACKS,
